feature_A,feature_B,agree_pred,both_correct,A_only_right,B_only_right,jaccard_correct,jaccard_wrong,oracle_either
CAI + mRNA dG,UTR+CDS init fold,0.5495953591635035,0.36331733868079924,0.25696483563704076,0.11738165150755568,0.4925242718446602,0.4120359955005624,0.7376638258253957
CAI + mRNA dG,mRNA stability,0.5135715820382439,0.33187710377426055,0.28840507054357944,0.12289622573945427,0.44656451768333816,0.38439275377854004,0.7431784000572943
CAI + mRNA dG,Stall sites,0.4491871374346487,0.30158275442240207,0.31869941989543793,0.13600229177110937,0.39876893939393937,0.3489540607054963,0.7562844660889494
All computed,Windowed dG (slide),0.7870801403709804,0.579746472821027,0.09661247582897659,0.09338967270643844,0.7531633792333458,0.5478868438991138,0.7697486213564421
All computed,Codon-pair bias,0.47017116665473035,0.3112511637900165,0.36510778485998713,0.09861777554966698,0.4016264670548009,0.3267131121971509,0.7749767241996706
All computed,5prime ramp,0.458282604024923,0.29785862636969135,0.3785003222803123,0.0921721693045907,0.38756872612058524,0.32966136270909835,0.7685311179545943
All computed,UTR+CDS init fold,0.5631311322781637,0.3937549237269928,0.2826040249230108,0.08694406646136217,0.5158566335147308,0.390431187241583,0.7633030151113658
All computed,mRNA stability,0.5322638401489651,0.36331733868079924,0.3130416099692043,0.09145599083291556,0.4731834716910736,0.36467941507311585,0.7678149394829191
All computed,Stall sites,0.47332235193010097,0.3345269641194586,0.34183198453054503,0.10305808207405286,0.42920150693742537,0.33146792940163583,0.7794170307240564
Windowed dG (slide),Codon-pair bias,0.45040464083649645,0.3006517224092244,0.3724844231182411,0.10921721693045908,0.3842914683266203,0.31121351766513056,0.7823533624579245
Windowed dG (slide),5prime ramp,0.4465372770894507,0.2906252238057724,0.38251092172169304,0.09940557186850964,0.37619356632984147,0.32064613831398286,0.7725417173959751
Windowed dG (slide),UTR+CDS init fold,0.5245291126548736,0.3756356083936117,0.29750053713385377,0.10506338179474325,0.4826983250506166,0.35524202798807064,0.7781995273222087
Windowed dG (slide),mRNA stability,0.5055503831554824,0.349208622788799,0.3239275227386665,0.10556470672491584,0.44845028970845213,0.34004621987454603,0.7787008522523813
